Marke;Kurzcharakteristik 1;Kurzcharakteristik 2;Kurzcharakteristik 3 (optional);Preis;Design;Bekanntheit;Sortimentsbreite;Positionierung;;;;;;;;
PARAJUMPERS;Performancejacken mit Expeditionscharakter;Funktionalität auf höchstem Niveau, ikonische Details;Für extreme Bedingungen und urbanes Leben;4;3;3;2;1;;;;;;;;
PEARLWOOD;Elegante Businessmode mit smarter Linie;Zeitlose Sakkos und Hosen mit moderner Leichtigkeit;;?;?;?;?;?;;;;;;;;
Pepe Jeans;Britischer Denim-Style mit jugendlicher Attitüde;Casualwear mit modischen Akzenten;London Spirit trifft auf Alltagstauglichkeit;3;2;4;3;1;;;;;;;;
PEUTEREY;Italienische Jackenspezialisten mit urbanem Anspruch;Klare Schnitte, Hightech-Stoffe, City-tauglich;Eleganz trifft Funktion;4;3;3;2;1;;;;;;;;
PICARD;Lederwaren-Manufaktur aus Deutschland seit 1928;Taschen und Accessoires mit Stil und Substanz;Tradition und Moderne in perfekter Balance;3;2;3;2;2;;;;;;;;
Pierre Cardin;Französische Designermode mit internationaler Strahlkraft;Zeitloser Stil für Business und gepflegte Freizeit;Erreichbarer Luxus für jeden Tag;3;2;4;4;2;;;;;;;;
Polo Ralph Lauren;Amerikanischer Preppy-Stil mit weltweitem Kultstatus;Ikonische Polos, College-Optik, gehobene Freizeitmode;Tradition, Klasse und Lebensstil in einem Look;4;3;5;4;2;;;;;;;;
PONY;Authentische Sneaker-Marke aus New York;Sportlicher Retro-Style mit urbanem Charakter;Kultig, schlicht, lässig;3;2;2;2;1;;;;;;;;
PORSCHE DESIGN;Technisch inspirierte Luxusmode für Männer;Klare Linien, Hightech-Materialien, funktionales Design;Performance trifft puristische Ästhetik;4;4;4;4;2;;;;;;;;
POST & CO;Italienische Ledergürtel mit handgearbeitetem Finish;Rustikal, maskulin, hochwertig;;4;3;2;1;2;;;;;;;;
Prime Shoes;Klassische Rahmengenähte Herrenschuhe;Deutsche Qualität, stilvoll und langlebig;Für Business und besondere Anlässe;4;2;2;1;3;;;;;;;;
PUMA;Deutsche Sportswear mit Performance-Anspruch und Lifestyle-Faktor;Innovation trifft Streetstyle – globaler Sportsgeist;Von Sport bis Fashion – vielseitig kombinierbar;2;2;5;4;1;;;;;;;;
PURE;Hemden mit klarem Design und nachhaltigem Anspruch;Modern Fit, dezente Muster, alltagstauglich;Produziert mit Verantwortung und Stil;3;2;2;2;2;;;;;;;;
Quartz Co.;Kanadische Winterjacken für extreme Bedingungen;Technisch durchdacht, clean, nachhaltig;Für urbane Entdecker mit Outdoor-Ambition;4;3;2;2;1;;;;;;;;
Quiksilver;Surf- und Snowwear mit jugendlicher Lässigkeit;Kalifornischer Lifestyle – funktional & freiheitsliebend;Kultmarke seit den 70ern;2;2;4;3;1;;;;;;;;
RAGMAN;Casualwear mit Komfort und Qualität;Strick, Polos und Basics für jeden Tag;Unkompliziert, gepflegt, tragbar;2;2;2;2;1;;;;;;;;
Ray Ban;Die Ikone unter den Sonnenbrillen;Wayfarer, Aviator & Co. – zeitlos und stilprägend;Kultstatus seit Jahrzehnten;4;2;5;2;1;;;;;;;;
RENÉ LEZARD;Deutsche Premium-Marke mit klassischer Business-Eleganz;Hochwertige Stoffe, modische Zurückhaltung;Für Männer mit Stil und Anspruch;4;3;3;3;3;;;;;;;;
Replay;Italienisches Denimlabel mit urbanem Edge;Waschungen, Used-Effekte, moderne Schnitte;Jeansmode mit rebellischer Attitüde;4;3;4;3;1;;;;;;;;
roberto collina;Italienischer Strickspezialist mit luxuriösem Touch;Weiche Garne, klare Silhouetten;Made in Italy – Premium Knitwear;4;3;2;2;2;;;;;;;;
Roeckl;Handschuhtradition aus München seit 1839;Feinstes Leder, passgenau gefertigt;Accessoires mit Stil, Funktion und Geschichte;3;2;3;2;2;;;;;;;;
rosso e nero;Italienische Schuhe mit modernem Business-Twist;Formell und doch leger – für smarte Auftritte;;4;3;2;1;2;;;;;;;;
ROY ROBSON;Smarte Anzüge & Businessmode mit modernem Flair;Deutsche Marke mit internationaler Ausrichtung;Passform, Funktion und Stil vereint;3;2;3;2;3;;;;;;;;
Saint Laurent;Französische Luxusmarke mit rebellischer Eleganz;Schlanke Silhouetten, monochrome Looks, rockige Details;Couture trifft Coolness;5;5;5;4;2;;;;;;;;
SAVE THE DUCK;Vegane Jackenmarke mit Funktion & Nachhaltigkeit;Tierfrei, technisch, urban;„No Duck Down“ – verantwortungsvolle Outdoor-Mode;3;3;3;2;1;;;;;;;;
Schiesser;Deutsche Wäscheklassiker seit 1875;Funktional, bequem, langlebig – Qualität für jeden Tag;Tradition trifft Moderne;2;2;4;2;1;;;;;;;;
Schiesser Revival;Historische Designs neu interpretiert;Feine Rippe, Retro-Look, edle Verarbeitung;Zeitloser Wäsche-Stil mit Substanz;3;2;2;1;1;;;;;;;;
Schöffel;Outdoorbekleidung mit alpiner Expertise;Funktionell, langlebig, zuverlässig für jedes Wetter;„Ich bin raus.“ – Für Naturmenschen mit Stil;3;2;3;3;1;;;;;;;;
Scotch & Soda;Niederländischer Mix aus Boho, Retro und Premium-Casual;Detailverliebt, individuell, modisch;Kreative Looks mit urbaner Leichtigkeit;3;4;4;3;1;;;;;;;;
SEBAGO;Amerikanischer Docksider-Klassiker;Bootsschuhe und Loafer im Preppy-Stil;Nautisch, elegant, traditionsreich;3;2;3;1;1;;;;;;;;
Seidensticker;Hemdenmarke mit Tradition und Innovationsgeist;Bügelfrei, stilvoll, modern klassisch;Seit 1919 – Qualität aus Bielefeld;3;2;4;2;3;;;;;;;;
SHOEBOY'S;Schuhpflegeprodukte mit professionellem Anspruch;Pflege, Schutz und Komfort für hochwertige Schuhe;;2;1;2;2;1;;;;;;;;
Sioux;Komfortschuhe mit weichem Fußbett und Handnaht;Bequemlichkeit trifft auf solides Design;Traditionsmarke aus Deutschland;3;2;3;1;2;;;;;;;;
Stange;Herrenaccessoires mit Liebe zum Detail;Krawatten, Schals, Fliegen in klassischer Ausführung;;?;?;?;?;?;;;;;;;;
Stenströms;Schwedische Premium-Hemden mit makelloser Verarbeitung;Edle Stoffe, klassische Eleganz, luxuriöse Details;Businessmode mit nordischem Stil;4;3;2;2;3;;;;;;;;
Strellson;Schweizer Marke für smarte Business- und Casualwear;Geradlinig, urban, international;Für Männer mit Haltung und Stil;4;3;4;3;2;;;;;;;;
Strellson Premium;Hochwertige Linie mit Fokus auf Stoffqualität und Modern Tailoring;Businessmode mit klarer Linie und subtiler Eleganz;;4;3;3;2;3;;;;;;;;
Strellson Sportswear;Freizeitlinie mit sportlicher Lässigkeit;Urbaner Komfortlook für aktive Männer;;3;3;3;2;1;;;;;;;;
STUTTERHEIM;Skandinavische Regenmäntel mit Designanspruch;Handgemacht, wasserfest, minimalistisch;Melancholisch und stilvoll – Swedish melancholy;4;4;3;2;1;;;;;;;;
SWIMS;Norwegische Marke für wasserfeste Loafer & Accessoires;Technisch inspiriert, elegant und funktional;Urban Outdoor trifft auf City-Ästhetik;3;3;2;2;1;;;;;;;;
Teva;Outdoor-Sandalen mit Kultstatus aus den USA;Funktional, leicht, ideal für Reisen und Abenteuer;Bequem, robust und für jedes Terrain geeignet;2;2;4;2;1;;;;;;;;
Timberland;Robuste Boots mit amerikanischer Outdoor-DNA;Klassiker in Gelb – langlebig, markant und wetterfest;Mode für Natur, Stadt und Straße;3;2;5;3;1;;;;;;;;
Tommy Hilfiger;Amerikanischer Preppy-Stil mit weltweiter Bekanntheit;Ikonische Farben, sportlich-elegant;Casualwear mit Ivy-League-Attitüde;3;3;5;4;2;;;;;;;;
TOMMY JEANS;Junge Denimlinie mit Streetstyle-Charakter;Logo-Statements, urbaner Look, modisch;90s-Vibes in neuem Gewand;3;3;4;2;1;;;;;;;;
tramarossa;Italienische Luxusjeans mit Maßanspruch;Individuell, handgefertigt, edle Stoffe;Jeans mit persönlicher Gravur;5;3;2;1;1;;;;;;;;
UYN;Hightech-Sportwäsche mit innovativen Materialien;Nahtlos-Technologie für Bewegungsfreiheit und Komfort;Nachhaltig produziert, funktional;3;3;2;2;1;;;;;;;;
van Bommel;Niederländische Herrenschuhe mit Tradition und Raffinesse;Klassisch bis modisch, rahmengenäht;Seit Generationen ein Inbegriff für Qualität;3;2;2;1;2;;;;;;;;
van Laack;Hemden mit Maßanspruch und luxuriösen Details;Feine Stoffe, perfekte Passformen, edle Knöpfe;Premium aus Deutschland seit 1881;4;3;3;2;3;;;;;;;;
VARSITY HEADWEAR;Norwegische Caps mit minimalistischer Ästhetik;Hochwertige Materialien, cleane Farben;Accessoire mit Understatement und Stil;3;3;2;1;1;;;;;;;;
Venti;Bügelfreie Businesshemden mit modernem Schnitt;Pflegeleicht, figurbetont, preisbewusst;Alltagstauglich mit Stil;2;2;2;1;2;;;;;;;;
VICTORINOX;Schweizer Marke bekannt durch das Original-Armeemesser;Funktional, robust, vielseitig – auch bei Fashion und Gepäck;Qualität mit Pioniergeist;3;2;4;3;1;;;;;;;;
wapiti;Natürliche Strickmode mit norwegischer Inspiration;Grobstrick, alpin, rustikal;;?;?;?;?;?;;;;;;;;
Wegener;Hüte und Mützen in deutscher Qualitätstradition;Funktionell und stilvoll – für Stadt und Natur;;2;2;2;1;1;;;;;;;;
Wilvorst;Hochzeits- und Festmode mit Premiumanspruch;Smoking, Cut & Co. in perfekter Passform;Für den großen Auftritt;4;2;3;2;3;;;;;;;;
Windsor;Deutsche Luxusmarke für Business- und Casualwear;Zurückhaltender Stil, exzellente Stoffe;Zeitlose Eleganz für jeden Tag;4;3;4;3;3;;;;;;;;
WOOLRICH;Outdoorjacken mit amerikanischer Geschichte;Funktion trifft Heritage – Parkas mit Kultstatus;Robuste Materialien, ikonische Silhouetten;5;3;4;2;1;;;;;;;;
Wrangler;Authentische Denimwear aus den USA;Lässiger Western-Style mit funktionaler Ausrichtung;Cowboys, Rodeo & Rock 'n' Roll;2;2;5;3;1;;;;;;;;
Zimmerli;Schweizer Wäscheluxus seit 1871;Feinste Materialien, makellose Verarbeitung;„The world’s finest underwear“;5;2;2;1;1;;;;;;;;
